description,domain,sub_domain
Pediatrics is the medical discipline that encompasses both the general education and clinical practice of children.,Medical,Pediatrics
"Pathology is the science and practice of diagnosing disease, including viral infections, malaria, and tuberculosis.",Medical,Pathology
"Pathology (medical) is the study of pathological diseases and disorders that affect a human being's physical, mental and emotional health.",Medical,Pathology
Plastic Surgery (sometimes referred to as plastic surgery) is an operation in which the surgeon manipulates an object's shape and size.,Medical,Plastic Surgery
Nephrology is a field that involves the treatment of kidney failure.,Medical,Nephrology
Radiology is the study of radiation therapy in the medical field.,Medical,Radiology
Cardiology is an area of medicine in which cardiology is a branch of medical science.,Medical,Cardiology
Internal Medicine is the study of internal organs.,Medical,Internal Medicine
Radiology is a medical discipline that encompasses the study of both radiological and biomedical sciences.,Medical,Radiology
"Neurology is the field of medicine in which doctors, hospitals, and researchers, both medical and non-medical, work together.",Medical,Neurology
The use of a CT scan to assess and diagnose the symptoms of a cold or flu in an emergency is an important part of the medical management of emergency situations.,Medical,Emergency Medicine
Radiology is a field in which the study of radiology in the medical field is concerned.,Medical,Radiology
Infectious Diseases in the Medical domain:,Medical,Infectious Diseases
General Surgery is the scientific sub-domain of medical science in which the discipline of surgery is an academic discipline.,Medical,General Surgery
Infectious diseases in the medical domain are:,Medical,Infectious Diseases
Reproductive medicine is the study of reproduction.,Medical,Reproductive Medicine
"Dermatology is the study of skin and hair physiology, and the use of tools, such as microscopes, to diagnose conditions of the skin and develop new hair products. Dermatologists use these tools to examine skin and hair for diseases that are not a result of the use of the microscope, to treat infections, and for the treatment of wounds and infection.",Medical,Dermatology
"Anesthesiology is the study of an abnormality in a person's body and if a specific organ has been damaged, re-injured, or destroyed.",Medical,Anesthesiology
The primary medical care of the general surgery patient is the treatment of a disease.,Medical,General Surgery
"Anesthesiology is the study of the nervous system, the esophagus, and the vaginal wall.",Medical,Anesthesiology
"Nephrology is a medical field, usually involving kidney transplantation.",Medical,Nephrology
Cardiology in the Medical domain is a field of medicine focused on heart disease.,Medical,Cardiology
Infectious Diseases in the Medical Domain.,Medical,Infectious Diseases
Emergency medicine is a medical specialty in which the primary focus is the management of emergencies.,Medical,Emergency Medicine
"Pathology is the study of disease that can be characterized by a spectrum of diseases, including cancer, diabetes, autoimmune disease, cardiovascular disease, and heart disease.",Medical,Pathology
"Dermatology is a science of the medical sciences and is the study of how cells work. Dermatology is also a scientific discipline. Dermatologists are professionals who specialize in the diagnosis, prevention, treatment and management of diseases. Dermatologists specialize in treating diseases of the skin, hair and nails.",Medical,Dermatology
"Dermatology is the study of the skin and hair follicles, skin cells and tissue.",Medical,Dermatology
"Internal Medicine is the medical discipline of medicine, which encompasses a broad range of disciplines.",Medical,Internal Medicine
"Emergency Medicine is the field of medicine that is concerned with a broad range of emergency situations, including e.g. the death of a person, the loss of an organ or a physical therapist, the sudden death of an animal, the destruction of property or a harrowing horde of wild animals, and the emergence of new life sciences.",Medical,Emergency Medicine
Infectious Diseases in the Medical domain:,Medical,Infectious Diseases
Neurology is the science of a medical disease.,Medical,Neurology
Anesthesiology is a medical discipline involving the study of body part anatomy.,Medical,Anesthesiology
Emergency medicine is the medical treatment of emergencies that occur in the medical setting.,Medical,Emergency Medicine
"Orthopedics is the study of the operation, treatment and management of a wide variety of physical diseases.",Medical,Orthopedics
"Hematology (medical sciences) is the study of and treatment of diseases characterized by abnormal cell growth and growth, particularly in human tissues.",Medical,Hematology
"Neurology is a discipline of medicine that deals with the study of neuronal systems. Neurology, primarily, is concerned with studying a number of diseases, including Parkinson's disease and Alzheimer's disease, which are the leading causes of Parkinson's disease and Alzheimer's disease.",Medical,Neurology
"Nephrology is the science of treating kidney stones, the removal of kidney stones, and the treatment of kidney diseases.",Medical,Nephrology
Anesthesiology is the study of the physical and mental effects of a disease.,Medical,Anesthesiology
"Neurology in the Medical domain : The pharmacology and pathology of drug development, as well as the neurology and pathology of medicine.",Medical,Neurology
"Neurology consists of many branches of medicine: neuroscience, biomedicine, medicine and biotechnology.",Medical,Neurology
Pediatrics in the Medical domain is a branch of medicine that encompasses the following areas:,Medical,Pediatrics
Pediatrics in the Medical domain: Pediatrics is the science of evaluating the medical conditions of the population.,Medical,Pediatrics
Anesthesiology (also known as anesthesia) is the study of the functioning of the kidneys and the blood vessels in the kidneys.,Medical,Anesthesiology
Endocrinology is the study of the regulation of endocrinology in a human body.,Medical,Endocrinology
Hematology is a scientific discipline of medicine.,Medical,Hematology
"The Neurology and Clinical Practice branch of medicine is the scientific, medical, and forensic branch of medicine.",Medical,Neurology
General surgery (medical discipline) is a branch of medicine in which the general surgical technique is applied.,Medical,General Surgery
"Plastic surgery is a treatment used to treat injuries and illnesses caused by bodybuilding, squats, sprains, or other sports injuries.",Medical,Plastic Surgery
"Dermatology is a discipline in medicine. Dermatologists specialize in the diagnosis and treatment of diseases that affect skin and hair, and include skin cancers. Dermatology may also refer to:",Medical,Dermatology
"Pathology is the study of pathological processes in human organs, including pathological diseases and disorders.",Medical,Pathology
"Anesthesiology is the study of the physical examination of the lungs, tissues and organs of the body.",Medical,Anesthesiology
"Anesthesiology is the study of the treatment of diseases and illnesses, and of the development and prevention of them.",Medical,Anesthesiology
"Reproductive Medicine in the Medical domain is an area of medicine in which the practice of reproduction is a specialized field, as defined in the International Federation of Clinical Oncology, the European Association for the Study of Human Genotypes (ECSI).",Medical,Reproductive Medicine
Pathology in the Medical domain is the discipline of pathology.,Medical,Pathology
"Pediatrics in the Medical domain is a subfield of medicine that encompasses the whole spectrum of health, from nutrition and psychology to surgery and surgery.",Medical,Pediatrics
hematology is a medical science that deals with the diagnosis and treatment of diseases.,Medical,Hematology
"Dermatology is the medical profession that deals with the health, health and well-being of the skin and hair.",Medical,Dermatology
"Infectious diseases are disease that affect the respiratory system, which is mainly caused by infection with bacteria.",Medical,Infectious Diseases
"Endocrinology in the Medical domain - a term used in medicine to describe a wide variety of endocrinological conditions, including endocrinology (endocrine) or endocrinology. Endocrinology is a branch of medicine and focuses on the development and application of endocrinology.",Medical,Endocrinology
Reproductive medicine in the Medical domain.,Medical,Reproductive Medicine
"Nephrology is the study of kidney function, blood clots, and other diseases.",Medical,Nephrology
Several clinical hematologists specialize in the study of hematopoietic stem cells and their related organelles.,Medical,Hematology
"Neurology (Disambiguation) is a branch of medicine that deals with the study of a medical disease or disorder. It encompasses all facets of medicine, including psychology, and it encompasses the fields of physics, mathematics, chemistry, and biophysics.",Medical,Neurology
"Oncology is a medical domain, characterized by medical specialty and the study of tumors in the body.",Medical,Oncology
"Pathology is the study of pathological diseases, mainly cancers and autoimmune diseases.",Medical,Pathology
"The ""Factors"" section of the American Medical Association's The American Medical Association is devoted to describing and describing the major medical fields, including medicine, surgery, dentistry, nursing, nursing and human services.",Medical,Infectious Diseases
"Anesthesiology is an area of medicine that deals with the nephrology, the kidney, and the heart.",Medical,Anesthesiology
Nephrology is the study of kidney function.,Medical,Nephrology
Radiology in the Medical domain covers the following fields:,Medical,Radiology
The Oncology (medical science) is a science that involves the study of cancer.,Medical,Oncology
"A medical specialty is a medical field, such as medicine, surgery, or dentistry.",Medical,Oncology
"Neurology is a medical discipline that encompasses the study of neurological disorders and diseases, as well as neurosurgery, neuropsychiatry, psychopsychiatry, and pharmacology.",Medical,Neurology
"Pathology is the study of disease, whether in a medical field or an industrial sector.",Medical,Pathology
Reproductive medicine is the study of reproductive health in the medical domain.,Medical,Reproductive Medicine
"Cardiology is an area of medicine that focuses on the heart, respiratory and cardiovascular systems. Cardiology has been a focus of the United States Army since the 1950s.",Medical,Cardiology
"Plastic surgery is a medical procedure in which the body surgically removes the skin, hair, nails and other parts of the body to make it more attractive.",Medical,Plastic Surgery
"Nephrology is a medical field of medicine, which involves treating the kidneys of patients.",Medical,Nephrology
Pathology is the study of pathological conditions of the nervous system.,Medical,Pathology
"Reproductive medicine is the study of asexual reproduction, primarily through reproduction.",Medical,Reproductive Medicine
"Dermatology is the study of human skin, allowing us to examine the underlying causes of our disease.",Medical,Dermatology
"The term is used to refer to the medical and medical sciences that are related to the human body, and is sometimes used to refer to some of the fields of medicine such as medicine, physiology, medicine, veterinary science, medicine, dentistry, nursing, pharmacy, and medicine.",Medical,Internal Medicine
"Pediatrics is the field of medicine, focusing on the study of children.",Medical,Pediatrics
Nephrology is the treatment of kidney diseases.,Medical,Nephrology
"A neurological doctorate is a medical discipline that includes neurology, pathology, and medicine.",Medical,Neurology
"Pathology is the study of disease, pathology is the study of human beings, and has been used to describe various diseases of humans.",Medical,Pathology
Emergency medicine is the study and management of emergencies involving public health care.,Medical,Emergency Medicine
"Orthopedics is the field of medicine. It focuses on the treatment of injuries or illnesses related to physical activity, including the use of limbs, joints, or muscle groups.",Medical,Orthopedics
Orthopedics is the branch of medicine in the medical field that deals with the medical anthropology of the physical world.,Medical,Orthopedics
"Emergency medicine is a subfield of medicine, or medical field, that includes:",Medical,Emergency Medicine
"The medical discipline is concerned with the medical and scientific treatment of diseases, illnesses and disorders of the urinary system, particularly sexually transmitted infections.",Medical,General Surgery
"The medical field, or the scientific community, has a number of diverse medical subsectors:",Medical,Infectious Diseases
Dermatology is a medical specialty in the Medical field. Dermatology has been the leading cause of blindness in the United States.,Medical,Dermatology
"Hematology is a medical discipline in which the diagnosis and treatment of diseases, including those causing human illness or injury, is an important part of the science.",Medical,Hematology
Cardiology is an area of medicine in which cardiology is a branch of science.,Medical,Cardiology
Anesthesiology is the study of the gastrointestinal tract and of blood flow.,Medical,Anesthesiology
Orthopedics is the discipline of physical medicine in which the diagnosis and treatment of injuries is mainly concerned.,Medical,Orthopedics
Pediatrics is the medical discipline in which pediatrics is the discipline of medicine.,Medical,Pediatrics
"In the medical domain, Oncology is a broad and wide range of health-related issues and issues related to a person's life and health.",Medical,Oncology
Anesthesiology is an analytical discipline involving the study of body function.,Medical,Anesthesiology
Reproductive medicine is the medical discipline of reproduction medicine.,Medical,Reproductive Medicine
"General Surgery is the use of a technique or system to treat a wide range of conditions, including skeletal and skeletal, vascular, cardiovascular, and neurological disorders.",Medical,General Surgery
"Cardiology (Medical discipline) is the field of medicine that deals with a wide range of medical conditions including cardiovascular disease, cancer, and heart failure.",Medical,Cardiology
"Hematology is the study of a human cell or organ that is damaged, infected, or otherwise destroyed. Hematology is a field in which tissue is preserved by cryo-assays, infusions, and other methods of purification.",Medical,Hematology
Pathology in the Medical domain - a field of medicine that encompasses both medical and biomedical disciplines.,Medical,Pathology
Radiology is the scientific study of the physical properties of matter in the body. It is the study of atomic and atomic forces.,Medical,Radiology
Nephrology is the medical science of kidney function.,Medical,Nephrology
Oncology in the Medical domain is the scientific discipline of medicine. It is the branch of science devoted to cancer treatment.,Medical,Oncology
Anesthesiology is the study of the aetiology of body fluids and the function of organs and tissues.,Medical,Anesthesiology
Radiology is the science of determining the physical properties of a substance.,Medical,Radiology
"Infectious Diseases in the Medical Domain (Infectious Diseases: Infectious Diseases: Diseases: Diseases of the Viral Organism or (Immunodepressant) - infectious Diseases, The Infectious Diseases of the Infectious Diseases of the Viral Organism or (Immunodepressant) - infectious Diseases, .",Medical,Infectious Diseases
"Neurology is the study of neurology and medicine, and is the field of physiology.",Medical,Neurology
Anesthesiology is an area of medicine in which a number of medical disciplines are involved.,Medical,Anesthesiology
Infectious Diseases in the Medical domain:,Medical,Infectious Diseases
Typical practice of hematology involves the use of a wide variety of diagnostic methods and instruments to treat different types of diseases.,Medical,Hematology
Plastic Surgery is an art and science of performing a surgery.,Medical,Plastic Surgery
Reproductive Medicine in the Medical domain:,Medical,Reproductive Medicine
Endocrinology is a scientific discipline that deals with the treatment and prevention of diseases and disorders in humans.,Medical,Endocrinology
"Cardiology is the study of heart rhythms, physiology, and medicine.",Medical,Cardiology
"Endocrinology is the study of a single cell organ system, usually called the endocrinum or endothelial cell.",Medical,Endocrinology
Dermatology is a medical discipline.,Medical,Dermatology
"Anesthesiology is a discipline that specializes in the diagnosis and treatment of anesthesia. It is characterized by anatomic, physiological, and pathologic studies.",Medical,Anesthesiology
"Cardiology ( , Cardiology) is a medical discipline involving the physical and chemical properties of blood.",Medical,Cardiology
"The medical specialty of surgery is the treatment of conditions affecting the heart, lung, and gastrointestinal tract.",Medical,General Surgery
"Hematology is the study of the diagnosis, treatment and treatment of a variety of diseases and conditions.",Medical,Hematology
The National College of Emergency Medicine (NCEM) defines the medical specialty in emergency medicine.,Medical,Emergency Medicine
"Reproductive Medicine in the Medical domain (MDA) is an academic discipline encompassing all disciplines in medicine, biology, physics and chemistry.",Medical,Reproductive Medicine
"Dermatology is a medical field that includes dermatology, biopsy, pathology, and pathology.",Medical,Dermatology
Radiology in the Medical domain:,Medical,Radiology
Orthopedics (or a sub-segment of medicine) is the scientific study of human movement and related movement patterns.,Medical,Orthopedics
"Dermatology is the study of skin, hair and nails, which is often referred to as the ""dry hair"" (the skin layer).",Medical,Dermatology
Nephrology - also known as the kidneys of the human body and of the spirit.,Medical,Nephrology
Oncology is the study of disease and its causes.,Medical,Oncology
Cardiology is a medical discipline in which cardiology is a branch of medicine and is the central component of medicine.,Medical,Cardiology
Anesthesiology in the Medical domain is the study of the development of a medicine that involves the examination of anaesthesia.,Medical,Anesthesiology
"Anesthesiology is the medical field specialized in the diagnosis, treatment and prevention of diseases and conditions related to the medical profession.",Medical,Anesthesiology
"Dermatology is the study of a broad range of skin, hair and body diseases.",Medical,Dermatology
Anesthesiology is the study of a particular disease or organ that affects an organ's function.,Medical,Anesthesiology
A medical specialty in the medical field of medicine.,Medical,Emergency Medicine
Radiology is a medical discipline in which radiology is the main branch of medical science.,Medical,Radiology
Reproductive Medicine is a field of medicine that encompasses the study of reproduction and sexual reproduction.,Medical,Reproductive Medicine
"Pediatrics in the Medical domain is the study of how young people learn about the world, and how they experience it.",Medical,Pediatrics
General surgery consists of general surgery and is a subfield in medicine.,Medical,General Surgery
"Plastic surgery is a medical field in which patients have access to plastic surgery, such as breast surgery, or rhinoplasty.",Medical,Plastic Surgery
"Hematology is a discipline that deals with the diagnosis, treatment, and prevention of cancer.",Medical,Hematology
"Anesthesiology is the study of skeletal and muscular anatomy, including muscle, nerve, brain, femoral and cardiac function.",Medical,Anesthesiology
"Pediatrics in the Medical domain, also known as pediatrics, is a medical discipline in which the medical specialty of the medical field is concerned with the prevention and treatment of disease.",Medical,Pediatrics
Cardiology is a medical field that focuses on the study of heart health and disease.,Medical,Cardiology
"A medical medical field that deals with the diagnosis and treatment of cancer, including breast cancer.",Medical,Oncology
Emergency medicine is the medical field in which a person has to respond to an emergency.,Medical,Emergency Medicine
"Reproductive Medicine is a subfield of the human biology and biochemistry field, and includes cellular biology, molecular biology, genetics, and genomics.",Medical,Reproductive Medicine
"Anesthesiology is a special branch of medicine that deals with the diagnosis, treatment, and prevention of diseases of the brain and spinal cord, and can be applied to the management of medical conditions.",Medical,Anesthesiology
"Dermatology is the study of skin and hair. Dermatology can be divided into two subfields: dermatology, and pathological dermatology.",Medical,Dermatology
"Emergency medicine is the term used for a broad range of medical issues, including trauma, cardiac arrest, and spinal cord injuries.",Medical,Emergency Medicine
Reproductive medicine is a medical science.,Medical,Reproductive Medicine
"Pathology is the study of the pathology of cells and tissues, especially the liver and pancreas. It has been practiced since the late 19th century, when it was known as ""the science of medicine"". Pathology in the Medical domain encompasses all aspects of a medical discipline.",Medical,Pathology
Oncology in the Medical domain.,Medical,Oncology
"The world's largest plastic surgeons, now in the United States.",Medical,Plastic Surgery
Plastic surgery is an invasive medical procedure that is often done without the use of surgery.,Medical,Plastic Surgery
Pathology is a medical field encompassing medical sciences.,Medical,Pathology
"Pathology is the study of pathogens, and its diagnosis and treatment.",Medical,Pathology
General surgery in the medical domain .,Medical,General Surgery
Hematology is the scientific study of the disease that causes hepatitis C or the infection of the pancreas.,Medical,Hematology
The primary purpose of this document is to provide a comprehensive description of general surgery in the Medical domain.,Medical,General Surgery
///////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////,Medical,Internal Medicine
General surgery is the procedure of treating a wide variety of illnesses and conditions.,Medical,General Surgery
Infectious Diseases in the Medical Domain This is a list of Infectious Diseases that are usually found in hospital settings.,Medical,Infectious Diseases
Anesthesiology (Medical Discipline) is the practice of treating and treating anesthesia in the medical field.,Medical,Anesthesiology
Nephrology is the treatment of kidney diseases.,Medical,Nephrology
The topic of reproductive medicine is a very important and complex field.,Medical,Reproductive Medicine
"Hematology in the Medical domain encompasses the study of cell and tissue structure, cell division, differentiation and regulation of immune responses.",Medical,Hematology
Orthopedics is the study of the treatment and management of patients requiring orthopedic surgery.,Medical,Orthopedics
"Oncology (or Oncology) is a medical discipline in which the diagnosis, treatment, and management of cancer are defined by the pathology, diagnosis and diagnosis of a particular disease.",Medical,Oncology
Pediatrics in the Medical domain:,Medical,Pediatrics
Orthopedics in the Medical domain.,Medical,Orthopedics
Radiology in the Medical domain refers to:,Medical,Radiology
Ahematology is a branch of medicine in which the diagnosis and treatment of diseases is defined.,Medical,Hematology
Nephrology is the practice of a person who is unable to deliver urine or nephrons can be cured by treatment with drugs.,Medical,Nephrology
"The role of plastic surgery in the treatment of body fat loss, also known as fat loss, is a major area of medicine.",Medical,Plastic Surgery
Reproductive medicine is a subdiscipline in the field of reproductive medicine.,Medical,Reproductive Medicine
Emergency Medicine is a branch of medical science in the Medical Department.,Medical,Emergency Medicine
Radiology in the Medical domain:,Medical,Radiology
General Surgery is a branch of medicine.,Medical,General Surgery
"During the course of his career, Hematology has been involved in research and development of several new therapeutic and biological treatments.",Medical,Hematology
"Reproductive medicine is a subfield of medicine, focusing on reproductive health in the general public.",Medical,Reproductive Medicine
"Reproductive Medicine is an essential component of all medical science, and is the leading contributor to addressing the issues of reproduction.",Medical,Reproductive Medicine
The General Surgery field is divided into:,Medical,General Surgery
"Nephrology is a medical discipline involving kidney function, kidney function, and the diagnosis and treatment of kidney diseases.",Medical,Nephrology
Hematology is a medical discipline involving human immunodeficiency virus (HIV). It is a branch of the immunology or pathobiology discipline that is considered to be the primary study area for HIV/AIDS and to provide a platform for translational research.,Medical,Hematology
Oncology (medicine) is the scientific discipline of cancer.,Medical,Oncology
Nephrology is the practice of treating kidney disease and transplantation.,Medical,Nephrology
Dermatology is an art form of medical science characterized by medical applications in the field of medicine.,Medical,Dermatology
"Endocrinology in the Medical domain is a discipline in which endocrinologists perform the analysis, diagnosis and treatment of pathogens.",Medical,Endocrinology
Anesthesiology is a branch of medicine.,Medical,Anesthesiology
